Range (m), Beam Intensity (W/cm2), Beam Spread (cm)
100,2.18653e+07,0.0269529
200,4.78322e+06,0.0575719
300,1.91562e+06,0.0908901
400,990671,0.126276
500,590953,0.163356
600,386186,0.201907
700,268867,0.241787
800,196101,0.282893
900,148221,0.325148
1000,115238,0.368486
1100,91672.8,0.412851
1200,74326.9,0.458189
1300,61238.2,0.504452
1500,43240.2,0.599575
1400,51152.7,0.551595
1600,36935.1,0.648349
1700,31841.6,0.697879
1800,27677.1,0.748127
1900,24235.2,0.799058
2000,21363,0.850636
2100,18945.2,0.902829
2200,16893.9,0.955605
2300,15140.9,1.00893
2400,13632.9,1.06279
2500,12327.8,1.11713
2600,11192,1.17195
2700,10198.4,1.22721
2800,9324.91,1.28288
2900,8553.67,1.33895
3000,7869.83,1.3954
3100,7261.1,1.45218
3200,6717.24,1.5093
3300,6229.67,1.56672
3400,5791.13,1.62443
3500,5395.48,1.6824
3600,5037.5,1.74062
3700,4712.7,1.79907
3800,4417.24,1.85773
3900,4147.81,1.91659
4000,3901.54,1.97562
4100,3675.94,2.03482
4200,3468.82,2.09416
4300,3278.28,2.15363
4400,3102.67,2.21323
4500,2940.49,2.27292
4600,2790.47,2.33271
4700,2651.44,2.39258
4800,2522.4,2.45252
4900,2402.43,2.51251
5000,2290.72,2.57255
5100,2186.55,2.63262
5200,2089.28,2.69272
5300,1998.33,2.75284
5400,1913.16,2.81298
5500,1833.31,2.87312
5600,1758.36,2.93325
5700,1687.91,2.99338
5800,1621.63,3.0535
5900,1559.18,3.1136
6000,1500.3,3.17368
6100,1444.7,3.23374
6200,1392.16,3.29377
6300,1342.46,3.35377
6400,1295.39,3.41374
6500,1250.78,3.47368
6600,1208.46,3.53359
6700,1168.27,3.59346
6800,1130.08,3.6533
6900,1093.75,3.7131
7000,1059.16,3.77287
7100,1026.21,3.8326
7200,994.788,3.8923
7300,964.806,3.95196
7400,936.176,4.01159
7500,908.816,4.07118
7600,882.653,4.13075
7700,857.617,4.19028
7800,833.644,4.24978
7900,810.674,4.30925
8000,788.651,4.3687
8100,767.523,4.42812
8200,747.243,4.48751
8300,727.764,4.54688
8400,709.045,4.60622
8500,691.046,4.66554
8600,673.73,4.72484
8700,657.064,4.78413
8800,641.014,4.84339
8900,625.549,4.90263
9000,610.643,4.96186
9100,596.267,5.02107
9200,582.397,5.08027
9300,569.009,5.13945
9400,556.08,5.19863
9500,543.59,5.25779
9600,531.518,5.31694
9700,519.846,5.37608
9800,508.557,5.43521
9900,497.633,5.49434
10000,487.059,5.55346
10100,476.82,5.61257
10200,466.902,5.67168
10300,457.291,5.73078
10400,447.975,5.78988
10500,438.941,5.84898
10600,430.179,5.90807
10700,421.677,5.96716
10800,413.425,6.02626
10900,405.413,6.08535
11000,397.632,6.14444
11100,390.073,6.20353
11200,382.728,6.26262
11300,375.588,6.32172
11400,368.647,6.38081
11500,361.896,6.43991
11600,355.328,6.49901
11700,348.938,6.55812
11800,342.719,6.61723
11900,336.664,6.67634
12000,330.768,6.73545
12100,325.025,6.79458
12200,319.43,6.8537
12300,313.978,6.91283
12400,308.664,6.97197
12500,303.484,7.03111
12600,298.433,7.09025
12700,293.506,7.14941
12800,288.701,7.20856
12900,284.011,7.26773
13000,279.435,7.3269
13100,274.969,7.38607
13200,270.608,7.44526
13300,266.349,7.50445
13400,262.19,7.56364
13500,258.128,7.62285
13600,254.159,7.68205
13700,250.28,7.74127
13800,246.489,7.80049
13900,242.783,7.85972
14000,239.16,7.91896
14100,235.617,7.97821
14200,232.152,8.03746
14300,228.762,8.09671
14400,225.446,8.15598
14500,222.201,8.21525
14600,219.025,8.27453
14700,215.917,8.33382
14800,212.874,8.39311
14900,209.894,8.45241
15000,206.977,8.51171
