Range, Beam Intensity, Beam Spread
465.885,534.13,0.00171838
470.315,525.377,0.00173257
475.753,514.635,0.00175048
482.353,500.856,0.00177429
490.083,484.465,0.00180394
498.837,464.816,0.00184153
508.56,441.157,0.00189009
519.381,416.451,0.00194515
531.001,391.724,0.00200539
543.69,364.887,0.00207758
557.319,335.992,0.00216479
571.622,308.458,0.00225902
586.966,281.743,0.00236335
602.816,260.51,0.00245741
619.62,242.048,0.00254902
637.149,224.517,0.00264624
655.297,208.033,0.00274863
673.917,193.466,0.00284975
693.338,179.692,0.00295644
713.379,166.811,0.00306791
733.886,152.98,0.00320299
754.922,137.579,0.00337682
776.346,123.606,0.00356184
798.373,110.821,0.00376091
820.777,99.93,0.0039597
831.643,95.1105,0.00405836
843.848,90.004,0.00417142
867.307,81.0236,0.00439554
890.869,73.6121,0.0046105
915.178,67.3188,0.00482011
939.858,61.5861,0.00503831
964.807,56.5594,0.00525624
989.969,52.6336,0.00544752
1015.74,48.9868,0.00564536
1041.79,45.6403,0.00584732
1067.94,42.6682,0.00604615
1094.73,39.8968,0.00625116
1121.77,37.3474,0.00645947
1148.89,34.6949,0.00670023
1176.65,32.1497,0.00695868
1204.54,29.8335,0.00722197
1232.58,27.4314,0.00752962
1261.18,25.0806,0.00787254
1289.64,22.9671,0.00822464
1318.8,21.2068,0.00855695
1348.2,19.7171,0.00887202
1377.79,18.3564,0.00919258
1407.4,16.983,0.00955452
1437.6,15.637,0.00995452
1468.03,14.4112,0.0103664
1498.39,13.2841,0.0107943
1529.22,12.2363,0.0112438
1560.54,11.2705,0.0117124
1591.69,10.277,0.0122619
1623.45,9.33293,0.0128633
1655,8.48665,0.0134855
1687.16,7.66983,0.0141811
1719.53,6.92721,0.0149174
1752.12,6.29169,0.0156479
1784.57,5.90203,0.0161517
1817.72,5.53664,0.0166713
1851.06,5.16303,0.0172589
1884.52,4.77078,0.017949
1918.02,4.41171,0.0186595
1952.08,4.05866,0.0194481
1986.19,3.72884,0.0202837
2020.3,3.43385,0.0211305
2054.86,3.30683,0.0215264
2089.56,3.18776,0.0219184
2124.59,3.01678,0.0225243
2160.01,2.77528,0.0234763
2195.51,2.55463,0.0244613
2230.93,2.31621,0.0256809
2266.79,2.08864,0.0270346
2302.74,1.91916,0.0281939
2339.21,1.86837,0.0285661
2375.83,1.82035,0.0289319
2412.63,1.77826,0.0292637
2449.56,1.73755,0.0295959
2486.49,1.67778,0.0301095
2524.02,1.56414,0.0311737
2561.61,1.459,0.0322667
2599.15,1.38121,0.0331523
2637.3,1.31267,0.0339959
2675.55,1.23845,0.0349881
2713.95,1.1525,0.036257
2752.56,1.07292,0.0375647
2791.04,1.02579,0.0384056
2830.05,0.981899,0.0392419
2869.47,0.910089,0.0407463
2908.98,0.824004,0.0428058
2948.68,0.762959,0.0444694
2988.52,0.757914,0.0446037
3028.28,0.753084,0.0447332
3068.65,0.735208,0.0452595
3109.25,0.715989,0.0458482
3149.86,0.677172,0.0471276
3190.79,0.630164,0.0488359
3231.46,0.593938,0.0502855
3272.79,0.571676,0.0512379
3314.34,0.547745,0.0523274
3356.14,0.503875,0.0545367
3398.15,0.463298,0.0568528
3440.23,0.415924,0.0599785
3482.19,0.371467,0.06344
3524.67,0.344314,0.0658688
3567.48,0.324342,0.0678412
3610.49,0.309806,0.0693895
3653.64,0.299791,0.0705142
3696.67,0.296021,0.0709383
3740.36,0.301128,0.0703127
3784.11,0.3055,0.0697867
3827.81,0.309004,0.069369
3872.08,0.308784,0.0693719
3916.04,0.291459,0.0713767
3960.71,0.275076,0.073443
4005.55,0.262823,0.0751073
4050.2,0.251448,0.0767589
4095.52,0.244341,0.0778394
4140.43,0.237731,0.0788863
4186.13,0.223448,0.0813356
4231.98,0.209199,0.0840254
4277.5,0.195821,0.0868127
4323.93,0.183217,0.0897118
4370.23,0.167606,0.0937549
4416.57,0.152289,0.0983128
4463.25,0.137283,0.1035
4509.99,0.122348,0.109584
4557.34,0.108837,0.116135
4604.21,0.0949547,0.124279
4651.97,0.0891372,0.128219
4699.76,0.0845534,0.131596
4747.32,0.0794225,0.135727
4795.62,0.0735417,0.140993
4843.96,0.0701858,0.144255
4892.17,0.083618,0.132098
4940.83,0.0838393,0.131872
4989.61,0.08349,0.132096
5038.99,0.081315,0.133802
5087.75,0.0800158,0.134834
5137.44,0.0812613,0.13374
5187.27,0.0813694,0.133595
5237.18,0.080477,0.134282
5286.89,0.0791535,0.135349
5337.37,0.0774141,0.136811
5387.9,0.0749875,0.138961
5438.02,0.071682,0.142084
5489.16,0.0724331,0.141316
5540.39,0.0821143,0.132701
5591.61,0.0878809,0.12825
5642.98,0.0925552,0.124945
5694.65,0.0948062,0.123422
5746.12,0.0947401,0.123426
5798.42,0.0903337,0.126343
5850.16,0.0870495,0.128649
5902.88,0.084659,0.1304
5955.68,0.0854428,0.129764
6008.2,0.0872354,0.128394
6061.19,0.0865023,0.128894
6114.66,0.0849193,0.130042
6167.78,0.081127,0.132984
6221.62,0.0789608,0.134741
6275.11,0.0785379,0.135061
6329.38,0.0777421,0.135705
6383.13,0.0767331,0.136547
6437.5,0.0740487,0.138939
6492.39,0.0722711,0.140581
6546.69,0.0726553,0.140172
6601.9,0.0722926,0.14048
6657.11,0.071262,0.141443
6712.14,0.0680655,0.144655
6767.9,0.0655911,0.14729
6823.97,0.066812,0.14591
6879.5,0.0675038,0.145129
6935.95,0.067695,0.144886
6992.36,0.0673003,0.145267
7048.38,0.0666182,0.145963
7105.34,0.0650252,0.147682
7162.48,0.0634124,0.149488
7219.63,0.0617996,0.151365
7276.51,0.0597923,0.153817
7334.25,0.0577698,0.156414
7392.13,0.0557679,0.159122
7449.47,0.0543903,0.161059
7507.91,0.0532766,0.162671
7566.39,0.0516497,0.165139
7624.59,0.0506413,0.166712
7683.55,0.0503049,0.167219
7741.99,0.0496329,0.16829
7801.17,0.0486251,0.16996
7860.75,0.0469351,0.172908
7919.79,0.0463514,0.173936
7979.84,0.0460591,0.174437
8039.09,0.0447017,0.176985
8099.47,0.0436498,0.179031
8159.98,0.0428453,0.180636
8219.96,0.0424369,0.181447
8280.59,0.0420242,0.18228
8341.87,0.0416026,0.183144
8402.49,0.0407784,0.184915
8463.89,0.0399494,0.186751
8525.52,0.0391613,0.188547
8586.82,0.0383677,0.190413
8648.93,0.0375636,0.192364
8710.59,0.0367573,0.194384
8773.12,0.0359505,0.196472
8835.02,0.0352451,0.198351
8898.09,0.034675,0.199903
8960.86,0.0340275,0.201719
9023.29,0.0333827,0.20358
9086.63,0.032741,0.205485
9150.37,0.0321177,0.207388
9213.42,0.0315179,0.209272
9277.47,0.0309243,0.211189
9341.63,0.030352,0.213089
9405.3,0.0297816,0.215037
9470.11,0.0291956,0.217097
9534.02,0.0286006,0.219255
9598.75,0.0279417,0.221728
9664.3,0.0272477,0.224431
9728.87,0.0266299,0.226921
9794.57,0.0259611,0.229718
9860.24,0.0252869,0.232648
9925.64,0.024634,0.235598
9991.85,0.0237966,0.239568
10057.6,0.0229836,0.243624
10124.2,0.0222233,0.24761
10190.7,0.021812,0.249831
10257.2,0.0214513,0.251826
10324.1,0.0211056,0.253784
10391.3,0.0206896,0.256213
10458.3,0.0201274,0.259628
10526.1,0.0195861,0.263051
10593.1,0.019117,0.266126
10661.4,0.0185126,0.270268
10729.2,0.0179354,0.274411
10797.4,0.0174788,0.277821
10866.3,0.017277,0.279349
10934.9,0.0167846,0.283246
11003.7,0.0163102,0.287161
11072.4,0.0158784,0.290868
11141.6,0.01546,0.294603
11211.2,0.015171,0.29726
11281,0.0148359,0.30044
11350.2,0.0144401,0.30434
11420.6,0.0140435,0.308407
11491,0.0138314,0.31064
11561.4,0.0135751,0.313413
11631.9,0.0132417,0.317142
11702.7,0.0129313,0.320738
11773.1,0.0126277,0.324378
11844.2,0.0123319,0.328049
11915.5,0.0120781,0.3313
11987.4,0.0119609,0.332829
12059.5,0.0118157,0.334757
12131,0.0116791,0.336602
12203.6,0.011562,0.338207
12275.4,0.0114783,0.339366
12347.9,0.01133,0.341461
12421.2,0.0111995,0.343335
12493.5,0.0110875,0.344968
