Range, Beam Intensity, Beam Spread
225.568,3225.47,0.000700875
204.63,4145.35,0.000618368
183.751,5427.82,0.000540513
162.618,7299.16,0.000466202
142.22,10004,0.000398302
123.815,13739.9,0.000339927
107.657,18792.2,0.00029071
95.4521,24494.6,0.000254663
89.6035,28127.8,0.000237661
91.2138,27106.2,0.000242095
100.901,21813,0.000269849
116.192,16031.8,0.000314719
136.142,11280.6,0.000375113
158.395,8010.68,0.000445041
183.563,5699.36,0.000527491
210.009,4148.61,0.00061811
237.892,3078.88,0.000717305
266.352,2336.75,0.00082314
295.269,1808.06,0.00093552
325.613,1413.54,0.00105774
355.755,1127.36,0.00118407
387.496,903.031,0.00132259
418.771,735.703,0.00146486
450.578,604.783,0.00161516
484.545,496.611,0.00178184
517.385,410.579,0.00195903
551.401,340.092,0.0021518
586.196,283.715,0.00235513
619.468,242.435,0.00254697
656.379,205.769,0.00276364
691.572,179.877,0.00295491
728.438,159.018,0.00314171
765.162,141.192,0.00333304
800.64,123.457,0.00356326
839.981,106.659,0.00383221
877.453,92.2997,0.00411808
896.475,85.1983,0.00428549
916.147,78.483,0.00446423
954.758,66.9343,0.00483225
994.425,59.1485,0.0051386
1034.94,52.6883,0.00544254
1074.56,47.8031,0.00571188
1115.62,43.7873,0.00596596
1157.29,39.7979,0.00625556
1198.45,35.2142,0.00664774
1240.15,31.326,0.00704556
1281.63,27.5985,0.00750339
1326.63,24.1322,0.00802084
1369.35,21.1273,0.00856883
1413.39,18.3958,0.00917913
1456.8,16.1192,0.0098019
1501,14.1587,0.0104542
1546.74,12.5718,0.0110896
1593.16,11.3314,0.011676
1639.99,10.1994,0.0123016
1686.52,9.30941,0.0128709
1732.87,8.55621,0.01342
1780.27,7.97534,0.0138946
1827.13,7.46134,0.0143595
1874.66,6.96265,0.0148589
1925.07,6.4464,0.0154358
1973.85,5.94069,0.0160726
2022.31,5.52353,0.0166617
2073.44,5.18013,0.0171978
2124.35,4.89656,0.0176816
2174.85,4.66351,0.0181108
2227.3,4.35822,0.0187263
2279.09,4.02087,0.0194874
2330.5,3.76343,0.0201344
2383.99,3.53716,0.0207594
2436.17,3.28392,0.0215355
2488.85,3.06227,0.0222914
2541.95,2.89056,0.0229343
2598.43,2.70201,0.02371
2652.78,2.51555,0.0245619
2708.48,2.33781,0.0254666
2763.74,2.18333,0.02634
2818.6,2.03761,0.0272532
2875.83,1.89154,0.0282723
2933.82,1.75181,0.0293636
2992.25,1.62313,0.0304902
3048.24,1.51021,0.0315944
3107.58,1.40846,0.0326995
3165.37,1.33545,0.0335663
3225.53,1.30682,0.0339187
3285.55,1.23292,0.0349038
3346.35,1.14291,0.0362333
3406.9,1.06235,0.0375626
3467.88,0.998332,0.038729
3526.54,0.947334,0.0397396
3591.16,0.91195,0.0404849
3652.14,0.869988,0.0414308
3715.37,0.809182,0.0429361
3779.36,0.757013,0.0443673
3841.78,0.713565,0.0456751
3904.87,0.680225,0.0467589
3971.49,0.647673,0.0478957
4035.53,0.616696,0.0490602
4101.76,0.588314,0.0502051
4166.5,0.549473,0.0519205
4233.52,0.51989,0.0533493
4297.32,0.499846,0.0543837
4365.32,0.465057,0.0563477
4431.77,0.443934,0.0576442
4502.23,0.427662,0.0587025
4571.46,0.401711,0.0605342
4639.58,0.37686,0.0624622
4708.42,0.358066,0.0640465
4779.36,0.344263,0.0652857
4846.1,0.328152,0.0668349
4917.77,0.308935,0.0688414
4989.66,0.292723,0.070682
5059.4,0.280727,0.07214
5132.15,0.272584,0.0731765
5205.61,0.260568,0.0748047
5277.25,0.246726,0.0768299
5352.91,0.236518,0.0784285
5425.34,0.236707,0.0783747
5499.78,0.224941,0.0803525
5575.2,0.20973,0.0831579
5649.15,0.197273,0.085688
5725.57,0.188404,0.087632
5800.13,0.180405,0.0895045
5875.15,0.171725,0.0916846
5952.87,0.163887,0.0937963
6031.57,0.157487,0.0956309
6109.17,0.149833,0.0979826
6183.31,0.142737,0.100328
6263.04,0.137916,0.102014
6340.69,0.13524,0.102978
6420.01,0.133112,0.103759
6503.68,0.127808,0.105829
6583.9,0.1218,0.10834
6663.53,0.116793,0.110574
6745.64,0.111167,0.113263
6827.16,0.106212,0.115803
6908.09,0.103326,0.117353
6991.52,0.101334,0.118454
7074.36,0.0979086,0.120444
7157.63,0.0964772,0.121291
7241.34,0.0943097,0.122625
7325.49,0.0896671,0.125673
7410.07,0.086398,0.127956
7493.21,0.083784,0.129871
7579.35,0.0808114,0.132164
7664.94,0.077675,0.134725
7751.26,0.0754899,0.136593
7839.54,0.07335,0.138503
7923.83,0.0705636,0.141127
8012.93,0.0674744,0.144223
8099.53,0.0647757,0.147103
8189.35,0.0617538,0.150548
8279.94,0.059406,0.153397
8366.32,0.0571739,0.156264
8458.78,0.0544092,0.160057
8542.73,0.125775,0.105196
8609.77,0.137894,0.100443
8675.06,0.140041,0.099676
8739.87,0.141288,0.0992348
8804.29,0.138649,0.100141
8868.59,0.137546,0.100521
8935.76,0.134105,0.101759
9003.34,0.12925,0.103592
9070.22,0.125804,0.104954
9134.46,0.123739,0.105794
9202.87,0.12246,0.10632
9273.14,0.121593,0.106679
9340.04,0.119376,0.107629
9408.76,0.116629,0.108845
9478.04,0.11431,0.109904
9548.72,0.112017,0.110983
9616.13,0.109662,0.112126
9687.68,0.107565,0.113175
9756.56,0.105835,0.114062
9827.24,0.103656,0.115211
9898.22,0.101113,0.116601
9971.89,0.0985196,0.118073
10043.5,0.0960276,0.119542
10115.3,0.0935795,0.12104
10184.2,0.0910057,0.122681
10259.9,0.08753,0.12501
10331.3,0.0832766,0.128056
10404.6,0.0801033,0.13048
10478.7,0.0781663,0.132028
10548.8,0.0762854,0.133587
10625.9,0.0725837,0.136834
10699.8,0.0686196,0.140595
10774,0.0652255,0.14408
10847.6,0.0626514,0.146905
10923,0.0602515,0.149697
10997.9,0.0576627,0.1529
11073,0.055093,0.156298
11147,0.0522128,0.160399
11222.8,0.049258,0.16497
11299.4,0.047877,0.16724
11371.6,0.0474792,0.1679
11448.9,0.0472003,0.168364
11527.7,0.0467617,0.16911
11602.8,0.0462963,0.169916
11679.4,0.0456845,0.170999
11757.6,0.0448358,0.172542
