Range,Beam Intensity,Beam Spread
100,19348900.0,0.028652
200,4467160.0,0.0595737
300,1871490.0,0.0919555
400,1000960.0,0.125625
500,612262.0,0.160488
600,407830.0,0.196476
700,288195.0,0.233538
800,212699.0,0.271631
900,162295.0,0.310729
1000,127135.0,0.350822
1100,101732.0,0.391908
1200,82854.1,0.433971
1300,68497.1,0.476975
1400,57364.0,0.520877
1500,48585.1,0.565634
1600,41560.8,0.611204
1700,35867.6,0.657546
1800,31200.3,0.704621
1900,27334.6,0.752393
2000,24103.0,0.800828
2100,21378.9,0.84989
2200,19065.0,0.899549
2300,17085.7,0.949778
2400,15381.8,1.00055
2500,13906.3,1.05182
2600,12621.4,1.10359
2700,11497.0,1.15582
2800,10508.3,1.20849
2900,9635.06,1.26158
3000,8860.62,1.31507
3100,8171.17,1.36893
3200,7555.16,1.42314
3300,7002.89,1.4777
3400,6506.07,1.53258
3500,6057.89,1.58776
3600,5652.42,1.64321
3700,5284.51,1.69895
3800,4949.85,1.75494
3900,4644.7,1.81117
4000,4365.81,1.86762
4100,4110.36,1.92429
4200,3875.87,1.98114
4300,3660.16,2.03819
4400,3461.38,2.09541
4500,3277.82,2.1528
4600,3108.04,2.21033
4700,2950.72,2.268
4800,2804.73,2.3258
4900,2669.05,2.38371
5000,2542.72,2.44174
5100,2424.93,2.49988
5200,2314.93,2.55812
5300,2212.12,2.61644
5400,2115.89,2.67483
5500,2025.64,2.73332
5600,1940.95,2.79187
5700,1861.37,2.8505
5800,1786.52,2.90917
5900,1715.98,2.96794
6000,1649.5,3.02675
6100,1586.77,3.08559
6200,1527.46,3.14452
6300,1471.38,3.20348
6400,1418.26,3.26253
6500,1367.94,3.32161
6600,1320.23,3.38071
6700,1274.91,3.4399
6800,1231.84,3.49916
6900,1190.9,3.55843
7000,1151.93,3.61776
7100,1114.81,3.67715
7200,1079.41,3.7366
7300,1045.65,3.79612
7400,1013.43,3.85565
7500,982.625,3.9153
7600,953.195,3.97496
7700,925.037,4.03469
7800,898.055,4.09454
7900,872.23,4.15441
8000,847.475,4.21436
8100,823.754,4.27431
8200,800.966,4.3344
8300,779.083,4.39457
8400,758.081,4.45476
8500,737.869,4.51509
8600,718.451,4.57543
8700,699.743,4.63593
8800,681.753,4.69645
8900,664.425,4.75704
9000,647.725,4.81773
9100,631.625,4.87851
9200,616.095,4.93938
9300,601.109,5.00034
9400,586.642,5.0614
9500,572.669,5.12256
9600,559.169,5.18381
9700,546.14,5.24507
9800,533.523,5.30652
9900,521.337,5.36798
10000,509.527,5.42964
10100,498.113,5.4913
10200,487.043,5.55317
10300,476.337,5.61504
10400,465.944,5.67714
10500,455.89,5.73922
10600,446.141,5.80142
10700,436.685,5.86372
10800,427.51,5.92615
10900,418.589,5.9888
11000,409.946,6.05145
11100,401.553,6.11421
11200,393.4,6.17709
11300,385.479,6.24009
11400,377.78,6.3032
11500,370.296,6.36645
11600,363.036,6.42965
11700,355.958,6.49313
11800,349.073,6.55672
11900,342.371,6.62045
12000,335.849,6.68431
12100,329.515,6.74812
12200,323.332,6.81222
12300,317.309,6.87646
12400,311.457,6.94064
12500,305.739,7.00513
12600,300.181,7.06958
12700,294.749,7.13432
12800,289.451,7.19921
12900,284.3,7.26403
13000,279.26,7.3292
13100,274.359,7.39428
13200,269.575,7.45951
13300,264.892,7.52506
13400,260.335,7.59055
13500,255.871,7.65639
13600,251.527,7.72214
13700,247.283,7.78804
13800,243.123,7.8543
13900,239.074,7.92046
14000,235.116,7.98677
14100,231.234,8.05347
14200,227.453,8.12004
14300,223.757,8.18676
14400,220.142,8.25364
14500,216.607,8.32066
14600,213.136,8.38807
14700,209.754,8.45536
14800,206.445,8.52279
14900,203.206,8.59038
15000,200.037,8.65811
