Range,Beam Intensity,Beam Spread
1994.5,14338.6,0.65667
2013.57,14123.9,0.661603
2056.44,13351.0,0.680277
2122.85,12166.3,0.712256
2209.97,11022.8,0.747889
2314.5,9715.73,0.796026
2436.0,8300.49,0.86039
2571.8,7047.74,0.932777
2717.39,6038.53,1.00672
2875.28,5045.82,1.09998
3039.15,4239.64,1.19857
3212.3,3528.47,1.31208
3388.94,2944.57,1.43437
3573.57,2463.05,1.56617
3761.63,2039.98,1.71838
3951.98,1762.79,1.84628
4147.62,1464.32,2.02257
4343.22,1227.12,2.20603
4544.47,1025.71,2.40905
4746.77,861.644,2.62418
4950.53,766.018,2.77976
5154.93,640.197,3.03541
5363.01,565.312,3.22586
5569.9,527.035,3.33794
5773.56,463.812,3.55318
5982.71,402.757,3.80702
6201.17,349.434,4.08054
6414.38,307.193,4.34539
6625.6,273.01,4.6027
6833.72,241.098,4.89028
7045.86,213.622,5.18721
