Range,Beam Intensity,Beam Spread
2000.46,14106.4,0.661984
2031.33,13489.1,0.676794
2086.04,12472.8,0.703517
2161.62,11268.9,0.739719
2258.09,10049.1,0.78282
2370.4,8753.24,0.838081
2498.93,7550.05,0.901579
2640.8,6529.15,0.968624
2790.88,5507.71,1.05344
2952.35,4691.63,1.14015
3122.28,3991.55,1.23469
3295.41,3377.89,1.34053
3392.63,3074.37,1.40415
3477.1,2840.04,1.46004
3574.48,2598.22,1.52542
3661.42,2403.81,1.58493
3763.07,2196.98,1.65666
3857.44,2020.7,1.72622
3946.97,1862.43,1.79686
4051.54,1705.58,1.87626
4141.79,1582.13,1.94683
4248.22,1449.13,2.03265
4340.25,1343.55,2.10959
4445.09,1238.49,2.19563
4540.64,1160.73,2.2666
4646.01,1071.02,2.35785
4748.45,991.018,2.44938
4843.02,923.239,2.53597
4953.46,851.024,2.63927
5054.96,790.585,2.7363
5157.02,734.407,2.83692
5253.05,686.06,2.93314
5365.59,634.645,3.04717
5462.86,593.062,3.14995
